activity_id,activity_date,activity_type,topic,location_id,participants_count,public_event
1,2025-01-01,Public Event,Local Government,5,26,Yes
2,2025-01-03,Meeting,Entrepreneurship,7,20,No
3,2025-01-07,Public Event,Social Policy,3,38,Yes
4,2025-01-10,Government Interaction,Local Government,3,37,No
5,2025-01-11,Survey,Transport,8,8,No
6,2025-01-12,Community Outreach,Gender Equality,6,25,Yes
7,2025-01-16,Meeting,Housing,4,5,No
8,2025-01-19,Public Event,Education,3,21,Yes
9,2025-01-20,Meeting,Entrepreneurship,7,25,No
10,2025-01-23,Community Outreach,Local Government,4,20,Yes
11,2025-01-31,Community Outreach,Economic Policy,1,32,Yes
12,2025-02-03,Public Event,Economic Policy,7,41,Yes
13,2025-02-09,Survey,Economic Policy,3,22,No
14,2025-02-16,Campaign Activity,Gender Equality,4,15,Yes
15,2025-02-24,Government Interaction,Entrepreneurship,6,14,No
16,2025-02-25,Meeting,Transport,1,24,No
17,2025-02-26,Survey,Social Policy,1,7,No
18,2025-03-05,Community Outreach,Housing,8,22,Yes
19,2025-03-10,Public Event,Gender Equality,10,16,Yes
20,2025-03-11,Meeting,Youth Policy,6,34,No
21,2025-03-12,Public Event,Education,1,19,Yes
22,2025-03-14,Campaign Activity,Social Policy,6,21,Yes
23,2025-03-15,Survey,Entrepreneurship,6,12,No
24,2025-03-17,Campaign Activity,Housing,1,28,Yes
25,2025-03-18,Campaign Activity,Economic Policy,10,24,Yes
26,2025-03-19,Meeting,Education,5,22,No
27,2025-03-20,Meeting,Entrepreneurship,1,13,No
28,2025-03-21,Government Interaction,Social Policy,10,35,No
29,2025-03-24,Educational Event,Transport,5,14,No
30,2025-03-25,Campaign Activity,Social Policy,2,16,Yes
31,2025-03-26,Public Event,Economic Policy,10,5,Yes
32,2025-03-28,Survey,Education,7,25,No
33,2025-03-31,Media Activity,Economic Policy,5,28,Yes
34,2025-04-01,Educational Event,Economic Policy,1,20,No
35,2025-04-04,Public Event,Housing,3,16,Yes
36,2025-04-12,Survey,Housing,7,34,No
37,2025-04-15,Campaign Activity,Education,1,25,Yes
38,2025-04-28,Government Interaction,Education,4,39,No
39,2025-05-05,Survey,Economic Policy,6,9,No
40,2025-05-12,Public Event,Housing,10,16,Yes
41,2025-05-13,Community Outreach,Housing,5,8,Yes
42,2025-05-18,Meeting,Social Policy,3,33,No
43,2025-05-21,Campaign Activity,Education,4,23,Yes
44,2025-05-29,Community Outreach,Entrepreneurship,4,32,Yes
45,2025-05-30,Campaign Activity,Gender Equality,6,35,Yes
46,2025-06-03,Public Event,Youth Policy,5,29,Yes
47,2025-06-05,Media Activity,Healthcare,4,11,Yes
48,2025-06-08,Educational Event,Local Government,4,5,No
49,2025-06-13,Campaign Activity,Gender Equality,4,30,Yes
50,2025-06-15,Campaign Activity,Housing,3,27,Yes
51,2025-06-17,Public Event,Transport,1,8,Yes
52,2025-06-22,Public Event,Education,4,32,Yes
53,2025-06-23,Campaign Activity,Youth Policy,5,27,Yes
54,2025-06-24,Campaign Activity,Education,4,13,Yes
55,2025-06-26,Media Activity,Social Policy,2,17,Yes
56,2025-07-02,Public Event,Youth Policy,1,31,Yes
57,2025-07-04,Meeting,Entrepreneurship,2,11,No
58,2025-07-05,Meeting,Entrepreneurship,5,11,No
59,2025-07-19,Campaign Activity,Housing,2,27,Yes
60,2025-07-28,Meeting,Transport,3,28,No
61,2025-07-29,Community Outreach,Gender Equality,4,19,Yes
62,2025-07-30,Meeting,Education,6,23,No
63,2025-08-07,Educational Event,Healthcare,3,7,No
64,2025-08-14,Public Event,Economic Policy,1,23,Yes
65,2025-08-17,Community Outreach,Housing,1,15,Yes
66,2025-08-18,Educational Event,Local Government,3,18,No
67,2025-08-24,Public Event,Entrepreneurship,3,22,Yes
68,2025-08-26,Community Outreach,Transport,4,14,Yes
69,2025-09-03,Community Outreach,Social Policy,2,34,Yes
70,2025-09-05,Community Outreach,Transport,3,10,Yes
71,2025-09-07,Public Event,Entrepreneurship,2,16,Yes
72,2025-09-13,Meeting,Transport,8,17,No
73,2025-09-29,Meeting,Education,1,23,No
74,2025-10-02,Educational Event,Youth Policy,10,30,No
75,2025-10-12,Campaign Activity,Youth Policy,5,22,Yes
76,2025-10-24,Community Outreach,Education,7,28,Yes
77,2025-10-27,Public Event,Social Policy,2,24,Yes
78,2025-10-29,Public Event,Housing,5,5,Yes
79,2025-10-30,Public Event,Economic Policy,4,20,Yes
80,2025-11-01,Community Outreach,Youth Policy,2,26,Yes
81,2025-11-02,Meeting,Gender Equality,4,27,No
82,2025-11-04,Meeting,Economic Policy,1,12,No
83,2025-11-13,Meeting,Transport,5,20,No
84,2025-11-16,Educational Event,Healthcare,1,23,No
85,2025-11-21,Government Interaction,Entrepreneurship,1,28,No
86,2025-11-28,Government Interaction,Transport,7,20,No
87,2025-11-30,Government Interaction,Education,1,26,No
88,2025-12-02,Campaign Activity,Local Government,2,31,Yes
89,2025-12-08,Community Outreach,Healthcare,7,5,Yes
90,2025-12-21,Campaign Activity,Youth Policy,4,12,Yes
91,2025-12-24,Campaign Activity,Housing,2,19,Yes
92,2025-12-27,Community Outreach,Transport,2,29,Yes
93,2025-12-28,Community Outreach,Youth Policy,9,8,Yes
94,2025-12-31,Meeting,Housing,4,32,No
95,2026-01-01,Educational Event,Local Government,10,29,No
96,2026-01-03,Survey,Housing,1,31,No
