activity_id,activity_date,activity_type,topic,location_id,participants_count,public_event,year,month,month_name,municipality,city,district,location_type
1,2025-01-01,Public Event,Local Government,5,26,Yes,2025,1,January,Pervouralsk,Pervouralsk,,Community Center
2,2025-01-03,Meeting,Entrepreneurship,7,20,No,2025,1,January,Kamensk-Uralsky,Kamensk-Uralsky,,Community Center
3,2025-01-07,Public Event,Social Policy,3,38,Yes,2025,1,January,Yekaterinburg,Yekaterinburg,Verkh-Isetsky,Community Center
4,2025-01-10,Government Interaction,Local Government,3,37,No,2025,1,January,Yekaterinburg,Yekaterinburg,Verkh-Isetsky,Community Center
5,2025-01-11,Survey,Transport,8,8,No,2025,1,January,Serov,Serov,,Public Space
6,2025-01-12,Community Outreach,Gender Equality,6,25,Yes,2025,1,January,Nizhny Tagil,Nizhny Tagil,,Public Space
7,2025-01-16,Meeting,Housing,4,5,No,2025,1,January,Yekaterinburg,Yekaterinburg,Kirovsky,Public Space
8,2025-01-19,Public Event,Education,3,21,Yes,2025,1,January,Yekaterinburg,Yekaterinburg,Verkh-Isetsky,Community Center
9,2025-01-20,Meeting,Entrepreneurship,7,25,No,2025,1,January,Kamensk-Uralsky,Kamensk-Uralsky,,Community Center
10,2025-01-23,Community Outreach,Local Government,4,20,Yes,2025,1,January,Yekaterinburg,Yekaterinburg,Kirovsky,Public Space
11,2025-01-31,Community Outreach,Economic Policy,1,32,Yes,2025,1,January,Yekaterinburg,Yekaterinburg,Oktyabrsky,Office
12,2025-02-03,Public Event,Economic Policy,7,41,Yes,2025,2,February,Kamensk-Uralsky,Kamensk-Uralsky,,Community Center
13,2025-02-09,Survey,Economic Policy,3,22,No,2025,2,February,Yekaterinburg,Yekaterinburg,Verkh-Isetsky,Community Center
14,2025-02-16,Campaign Activity,Gender Equality,4,15,Yes,2025,2,February,Yekaterinburg,Yekaterinburg,Kirovsky,Public Space
15,2025-02-24,Government Interaction,Entrepreneurship,6,14,No,2025,2,February,Nizhny Tagil,Nizhny Tagil,,Public Space
