participant_id,activity_id,gender,age_group,role_id,participation_type
1,1,Male,35-44,1,Participant
2,1,Male,35-44,2,Participant
3,1,Male,35-44,4,Participant
4,1,Female,35-44,3,Participant
5,1,Male,35-44,5,Participant
6,1,Female,55+,3,Participant
7,1,Female,45-54,3,Volunteer
8,1,Female,35-44,3,Participant
9,1,Female,35-44,4,Participant
10,1,Male,18-24,3,Volunteer
11,1,Male,35-44,3,Participant
12,1,Female,18-24,6,Organizer
13,1,Female,35-44,3,Participant
14,1,Female,55+,5,Organizer
15,1,Female,25-34,3,Organizer
16,1,Male,25-34,3,Organizer
17,1,Female,25-34,3,Participant
18,1,Female,18-24,3,Participant
19,1,Female,35-44,3,Participant
20,1,Male,25-34,3,Participant
21,1,Male,18-24,3,Participant
22,1,Male,25-34,3,Volunteer
23,1,Male,35-44,4,Participant
24,1,Female,35-44,3,Volunteer
25,1,Female,18-24,3,Organizer
26,1,Male,25-34,3,Participant
27,2,Male,45-54,1,Participant
28,2,Male,45-54,2,Participant
29,2,Female,35-44,3,Volunteer
30,2,Male,25-34,3,Participant
31,2,Male,25-34,5,Participant
32,2,Male,35-44,3,Participant
33,2,Male,25-34,3,Participant
34,2,Male,25-34,3,Participant
35,2,Male,25-34,6,Organizer
36,2,Male,25-34,5,Speaker
37,2,Female,55+,3,Volunteer
38,2,Female,45-54,3,Volunteer
39,2,Male,25-34,3,Participant
40,2,Female,35-44,3,Volunteer
41,2,Male,35-44,4,Participant
42,2,Female,18-24,5,Participant
43,2,Female,45-54,3,Participant
44,2,Female,45-54,3,Participant
45,2,Female,25-34,5,Organizer
46,2,Male,25-34,4,Participant
47,3,Male,45-54,1,Participant
48,3,Male,55+,2,Volunteer
49,3,Female,35-44,4,Participant
50,3,Male,25-34,3,Participant
51,3,Female,35-44,3,Participant
52,3,Male,35-44,3,Participant
53,3,Female,25-34,3,Participant
54,3,Male,18-24,3,Volunteer
55,3,Female,45-54,3,Volunteer
56,3,Female,25-34,6,Participant
57,3,Male,45-54,3,Organizer
58,3,Female,25-34,3,Participant
59,3,Female,18-24,3,Participant
60,3,Female,18-24,3,Participant
61,3,Female,25-34,4,Participant
62,3,Female,55+,3,Participant
63,3,Female,18-24,6,Participant
64,3,Female,45-54,3,Participant
65,3,Female,25-34,3,Speaker
66,3,Male,45-54,4,Participant
67,3,Female,25-34,4,Speaker
68,3,Female,45-54,5,Participant
69,3,Female,35-44,4,Participant
70,3,Female,25-34,3,Participant
71,3,Male,18-24,3,Participant
72,3,Female,45-54,3,Participant
73,3,Female,55+,4,Speaker
74,3,Male,18-24,3,Participant
