participant_id,activity_id,gender,age_group,role_id,participation_type,role
1,1,Male,35-44,1,Participant,Coordinator
2,1,Male,35-44,2,Participant,Organizer
3,1,Male,35-44,4,Participant,Volunteer
4,1,Female,35-44,3,Participant,Participant
5,1,Male,35-44,5,Participant,Speaker
6,1,Female,55+,3,Participant,Participant
7,1,Female,45-54,3,Volunteer,Participant
8,1,Female,35-44,3,Participant,Participant
9,1,Female,35-44,4,Participant,Volunteer
10,1,Male,18-24,3,Volunteer,Participant
11,1,Male,35-44,3,Participant,Participant
12,1,Female,18-24,6,Organizer,Analyst
13,1,Female,35-44,3,Participant,Participant
14,1,Female,55+,5,Organizer,Speaker
15,1,Female,25-34,3,Organizer,Participant
16,1,Male,25-34,3,Organizer,Participant
17,1,Female,25-34,3,Participant,Participant
18,1,Female,18-24,3,Participant,Participant
19,1,Female,35-44,3,Participant,Participant
20,1,Male,25-34,3,Participant,Participant
21,1,Male,18-24,3,Participant,Participant
22,1,Male,25-34,3,Volunteer,Participant
23,1,Male,35-44,4,Participant,Volunteer
24,1,Female,35-44,3,Volunteer,Participant
25,1,Female,18-24,3,Organizer,Participant
26,1,Male,25-34,3,Participant,Participant
27,2,Male,45-54,1,Participant,Coordinator
28,2,Male,45-54,2,Participant,Organizer
29,2,Female,35-44,3,Volunteer,Participant
30,2,Male,25-34,3,Participant,Participant
31,2,Male,25-34,5,Participant,Speaker
32,2,Male,35-44,3,Participant,Participant
33,2,Male,25-34,3,Participant,Participant
34,2,Male,25-34,3,Participant,Participant
35,2,Male,25-34,6,Organizer,Analyst
36,2,Male,25-34,5,Speaker,Speaker
37,2,Female,55+,3,Volunteer,Participant
38,2,Female,45-54,3,Volunteer,Participant
39,2,Male,25-34,3,Participant,Participant
40,2,Female,35-44,3,Volunteer,Participant
41,2,Male,35-44,4,Participant,Volunteer
42,2,Female,18-24,5,Participant,Speaker
43,2,Female,45-54,3,Participant,Participant
44,2,Female,45-54,3,Participant,Participant
45,2,Female,25-34,5,Organizer,Speaker
46,2,Male,25-34,4,Participant,Volunteer
47,3,Male,45-54,1,Participant,Coordinator
48,3,Male,55+,2,Volunteer,Organizer
49,3,Female,35-44,4,Participant,Volunteer
50,3,Male,25-34,3,Participant,Participant
51,3,Female,35-44,3,Participant,Participant
52,3,Male,35-44,3,Participant,Participant
53,3,Female,25-34,3,Participant,Participant
54,3,Male,18-24,3,Volunteer,Participant
55,3,Female,45-54,3,Volunteer,Participant
56,3,Female,25-34,6,Participant,Analyst
57,3,Male,45-54,3,Organizer,Participant
58,3,Female,25-34,3,Participant,Participant
59,3,Female,18-24,3,Participant,Participant
60,3,Female,18-24,3,Participant,Participant
61,3,Female,25-34,4,Participant,Volunteer
62,3,Female,55+,3,Participant,Participant
63,3,Female,18-24,6,Participant,Analyst
64,3,Female,45-54,3,Participant,Participant
65,3,Female,25-34,3,Speaker,Participant
66,3,Male,45-54,4,Participant,Volunteer
67,3,Female,25-34,4,Speaker,Volunteer
68,3,Female,45-54,5,Participant,Speaker
69,3,Female,35-44,4,Participant,Volunteer
70,3,Female,25-34,3,Participant,Participant
71,3,Male,18-24,3,Participant,Participant
72,3,Female,45-54,3,Participant,Participant
73,3,Female,55+,4,Speaker,Volunteer
74,3,Male,18-24,3,Participant,Participant
75,3,Male,35-44,5,Organizer,Speaker
76,3,Female,45-54,5,Participant,Speaker
77,3,Male,45-54,3,Speaker,Participant
78,3,Male,55+,3,Participant,Participant
79,3,Female,35-44,5,Organizer,Speaker
80,3,Male,25-34,4,Speaker,Volunteer
81,3,Male,25-34,3,Volunteer,Participant
82,3,Female,25-34,3,Participant,Participant
83,3,Female,35-44,4,Participant,Volunteer
84,3,Female,35-44,5,Speaker,Speaker
85,4,Male,25-34,1,Participant,Coordinator
86,4,Male,45-54,2,Participant,Organizer
87,4,Male,35-44,3,Volunteer,Participant
88,4,Female,35-44,3,Participant,Participant
89,4,Male,35-44,3,Participant,Participant
90,4,Female,25-34,3,Participant,Participant
91,4,Male,25-34,5,Participant,Speaker
92,4,Male,25-34,3,Participant,Participant
93,4,Female,35-44,4,Participant,Volunteer
94,4,Female,18-24,3,Participant,Participant
95,4,Female,25-34,6,Participant,Analyst
96,4,Female,35-44,3,Participant,Participant
97,4,Male,35-44,4,Participant,Volunteer
98,4,Male,35-44,3,Volunteer,Participant
99,4,Male,35-44,4,Participant,Volunteer
100,4,Female,55+,5,Participant,Speaker
101,4,Male,25-34,3,Organizer,Participant
102,4,Female,25-34,6,Participant,Analyst
103,4,Female,25-34,3,Organizer,Participant
104,4,Male,25-34,4,Participant,Volunteer
105,4,Male,45-54,3,Organizer,Participant
106,4,Female,25-34,3,Participant,Participant
